City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Pasighat,IN,72.93,moderate rain,28.07,95.33,Siang Guest House
Atuona,PF,80.71,light rain,-9.8,-139.03,Villa Enata
Cabedelo,BR,80.6,broken clouds,-6.98,-34.83,Lua Mansa Pousada
Pemangkat,ID,77.92,light rain,1.17,108.97,Kost H.Syamsuddin
Avarua,CK,80.6,light rain,-21.21,-159.78,Paradise Inn
Sibolga,ID,76.84,light rain,1.74,98.78,Hotel Syariah CN Darussalam
Kavieng,PG,81.34,overcast clouds,-2.57,150.8,Nusa Island Retreat
Nabire,ID,75.76,light rain,-3.37,135.48,Hotel Nusantara Nabire
Yanam,IN,82.72,clear sky,16.73,82.22,The Regency Hotel
Muros,ES,78.01,few clouds,42.78,-9.06,Apartment Av. Castelao
Hamilton,US,88.0,thunderstorm,39.18,-84.53,Six Acres Bed & Breakfast
East London,ZA,71.47,clear sky,-33.02,27.91,Tu Casa
Pochutla,MX,93.0,clear sky,15.74,-96.47,Hotel Posada San Jose
Faanui,PF,81.77,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
Lata,PT,70.0,overcast clouds,40.16,-8.33,Casa Maquia
Tarakan,ID,81.19,moderate rain,3.3,117.63,Hotel D' CaLia Tarakan
Banamba,ML,93.15,clear sky,13.55,-7.45,Kassela de Banamba
Tezu,IN,71.64,moderate rain,27.92,96.17,Circuit House
Ambilobe,MG,70.23,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
Bathsheba,BB,86.0,scattered clouds,13.22,-59.52,Atlantis Hotel
Victoria,HK,80.01,broken clouds,22.29,114.16,Mini Hotel Central
Vao,NC,72.84,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
Marathon,US,75.99,broken clouds,44.9,-89.77,
Merauke,ID,77.07,overcast clouds,-8.47,140.33,
Fare,PF,82.51,overcast clouds,-16.7,-151.02,Maitai Lapita Village Huahine
Port Blair,IN,83.48,overcast clouds,11.67,92.75,Hotel Sentinel
Boa Vista,BR,86.0,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
Akyab,MM,82.81,broken clouds,20.15,92.9,Hotel Memory
Boffa,GN,80.69,clear sky,10.17,-14.03,Hôtel Niara Belly
Hilo,US,78.8,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
Namibe,AO,74.61,clear sky,-15.2,12.15,Chik-Chik Namibe
Russell,US,89.6,scattered clouds,32.35,-85.2,Macs
Fuerte Olimpo,PY,71.04,clear sky,-21.04,-57.87,Hotel Fuerte Olimpo
Brewster,US,73.99,clear sky,41.4,-73.62,Heidi's Inn
Prattville,US,91.4,clear sky,32.46,-86.46,InTown Suites Extended Stay Prattville AL
Qom,IR,83.48,broken clouds,34.64,50.88,Qom International Hotel
Araouane,ML,88.32,clear sky,18.9,-3.53,
Porto Novo,BJ,82.4,shower rain,6.5,2.6,Tour Eiffel Hotel Benin
Alappuzha,IN,83.08,few clouds,9.49,76.33,Ramada by Wyndham Alleppey
Bahia Blanca,AR,72.25,broken clouds,-38.72,-62.27,Hotel Argos
Sindou,BF,86.68,scattered clouds,10.67,-5.17,LERABA HOTEL
Waingapu,ID,77.22,broken clouds,-9.66,120.26,Pondok Wisata Elim
Gushikawa,JP,73.4,overcast clouds,26.35,127.87,Kirari Guest House
Mitsamiouli,KM,80.38,clear sky,-11.38,43.28,Foyer ADM
Labuhan,ID,80.22,broken clouds,-6.88,112.21,bador sepret
Kidal,ML,88.3,scattered clouds,18.44,1.41,
Alofi,NU,73.4,overcast clouds,-19.06,-169.92,Taloa Heights
Kinwat,IN,93.43,clear sky,19.63,78.2,Iqbal Lodge
Davila,PH,77.0,broken clouds,18.47,120.58,
Nara,JP,70.0,overcast clouds,34.69,135.8,Guesthouse Nara Komachi
Maragogi,BR,78.24,moderate rain,-9.01,-35.22,Hotel Praia Dourada
Tual,ID,81.21,light rain,-5.67,132.75,Grand Vilia Hotel
La Rioja,ES,71.6,overcast clouds,42.25,-2.5,Casa Concejos
Nanakuli,US,82.4,clear sky,21.39,-158.15,Camp Palehua
Dhidhdhoo,MV,84.67,scattered clouds,6.88,73.1,Dhidhoo beach
Qunduz,AF,81.14,clear sky,36.73,68.86,قريشي مارکيٹ
Vila Velha,BR,82.4,few clouds,-20.33,-40.29,Hotel Vitória Palace
Vung Tau,VN,84.2,overcast clouds,10.35,107.08,Seaside Resort
Calama,CL,80.6,clear sky,-22.47,-68.93,Park Hotel Calama
Puerto Escondido,MX,87.8,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
Gambela,ET,75.29,overcast clouds,8.25,34.58,Solomon Debebe Hotel
Buchanan,LR,82.4,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
Touros,BR,73.4,broken clouds,-5.2,-35.46,INN NEW HORIZON
Palmer,US,73.99,scattered clouds,42.16,-72.33,Wedgewood Motel
Cockburn Town,TC,81.25,overcast clouds,21.46,-71.14,Osprey Beach Hotel
Kupang,ID,76.15,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
Kasongo,CD,72.9,clear sky,-4.45,26.67,Guest Hôtel
Kutum,SD,82.38,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
Saint George,US,78.01,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
Carbonia,IT,73.4,broken clouds,39.17,8.52,Lu 'Hotel
Road Town,VG,87.8,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
San Pedro,PH,82.4,broken clouds,14.35,121.02,Palines Apartment and Guesthouse
Neuquen,AR,77.0,broken clouds,-38.95,-68.06,Hotel del Comahue
Banda Aceh,ID,77.68,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
Dzaoudzi,YT,80.6,clear sky,-12.79,45.27,Le Rocher
Sao Joao Da Barra,BR,75.2,light rain,-21.64,-41.05,Pousada Porto De Canoas
Grand-Santi,GF,81.9,moderate rain,4.25,-54.38,Hotel La Villa Couacou
Caibarien,CU,80.6,scattered clouds,22.52,-79.47,La Nena
Ponta Do Sol,PT,78.8,broken clouds,32.67,-17.1,Hotel do Campo
Banjar,ID,80.6,moderate rain,-8.19,114.97,The Hamsa Resort
Key Largo,US,78.01,moderate rain,25.09,-80.45,Bayside Inn Key Largo
Manono,CD,71.69,clear sky,-7.3,27.42,Hotel hewa bora
Marzuq,YE,82.18,scattered clouds,14.4,46.47,
Washim,IN,90.75,clear sky,20.1,77.15,Hotel Maniprabha
Quepos,CR,82.4,scattered clouds,9.42,-84.17,Jungle Beach Hotel at Manuel Antonio
Santiago Del Estero,AR,70.75,clear sky,-27.8,-64.26,Hotel Urbano
Santa Cruz Cabralia,BR,80.6,scattered clouds,-16.28,-39.02,Baia Cabrália Hotel
Goderich,CA,82.99,light rain,43.75,-81.72,Harmony Inn
Pangkalanbuun,ID,74.89,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
Simplicio Mendes,BR,84.06,few clouds,-7.85,-41.91,Fidalgo
Bandar,ID,73.33,broken clouds,2.05,99.75,
Burhar,IN,86.65,broken clouds,23.22,81.53,REPL Camp
Alta Floresta,BR,77.25,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
Lianran,CN,75.0,broken clouds,24.92,102.48,Jinzhouwan Hotel
Lashio,MM,70.9,overcast clouds,22.93,97.75,Hotel CF Lashio - Burmese Only
Kalawit,PH,79.9,overcast clouds,8.07,122.52,Ompoy Pension House
Pagudpud,PH,77.0,broken clouds,18.56,120.79,JOHNRONALD BEACH RESORT
Aljezur,PT,79.0,clear sky,37.32,-8.8,Amazigh Hostel
Dickinson,US,87.8,broken clouds,29.46,-95.05,Candlewood Suites League City
Villa Carlos Paz,AR,82.4,clear sky,-31.42,-64.5,Monte Carlo
San Ramon,US,87.01,clear sky,37.78,-121.98,San Ramon Marriott
Tocache,PE,71.38,light rain,-8.18,-76.51,Hotel Ortiz
Bela,IN,94.96,overcast clouds,25.93,81.98,Siddharth Hotel
Taoudenni,ML,89.11,clear sky,22.68,-3.98,
Ixtapa,MX,82.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
Najran,SA,87.8,broken clouds,17.49,44.13,محمد هادي ال فطيح
Ternate,ID,81.61,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
Kashi,CN,71.6,clear sky,39.45,75.98,帕米尔青年旅舍
Naze,JP,71.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
Kalmunai,LK,83.59,overcast clouds,7.42,81.82,VS Villa
Safaga,EG,78.8,clear sky,26.73,33.94,Lamar Resort Abu Soma
Cayenne,GF,77.0,light rain,4.93,-52.33,Hôtel Le Dronmi
Morehead,US,79.0,clear sky,37.27,-87.18,CCI Express Inn
Martapura,ID,78.8,overcast clouds,-3.42,114.85,Montana Hotel Syariah
Borba,BR,79.52,light rain,-4.39,-59.59,Hotel da Amazônia
Koungou,YT,80.6,clear sky,-12.73,45.2,Villa Netibor
Kuching,MY,80.6,few clouds,1.55,110.33,Hilton Kuching
Tautira,PF,84.2,broken clouds,-17.73,-149.15,Pension Oaoa
Sakakah,SA,71.6,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
Tombouctou,ML,85.95,clear sky,20.0,-3.0,
Baghdad,IQ,84.2,clear sky,33.34,44.4,Baghdad Hotel
Asfi,MA,72.45,clear sky,32.3,-9.24,Hôtel Abda
Samarai,PG,78.58,light rain,-10.62,150.67,Nuli Sapi
Noumea,NC,73.0,overcast clouds,-22.28,166.46,Hôtel Le Lagon
Catuday,PH,81.84,overcast clouds,16.29,119.81,
Sahaswan,IN,94.08,clear sky,28.08,78.75,Lala Munna Lal Halbayi
Sao Miguel Do Araguaia,BR,78.84,light rain,-13.28,-50.16,Hotel Executivo Palace
Salalah,OM,86.0,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
San Jose,US,82.0,few clouds,37.34,-121.89,The Westin San Jose
Morondava,MG,72.3,clear sky,-20.28,44.28,La Case Bambou
Sambava,MG,71.04,clear sky,-14.27,50.17,Melrose
Suyan,PH,77.56,overcast clouds,6.06,125.39,
Santo Antonio Do Ica,BR,75.47,overcast clouds,-3.1,-67.94,Hotel Fogaça
Pacific Grove,US,82.0,clear sky,36.62,-121.92,Lovers Point Inn
Puerto El Triunfo,SV,91.4,few clouds,13.28,-88.55,Hotel Jardin
Chabahar,IR,84.16,scattered clouds,25.29,60.64,هتل گدروشیا
Galveston,US,87.01,moderate rain,29.37,-94.97,Comfort Inn & Suites Texas City
Coro,VE,89.94,overcast clouds,11.4,-69.67,Federal
Itambe,BR,75.74,light rain,-15.24,-40.62,Pousada Tropical
The Valley,AI,87.8,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
Makakilo City,US,82.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
Monrovia,LR,82.4,scattered clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
Bethel,US,73.99,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
Kyabe,TD,82.33,light rain,9.45,18.94,
Nan,TH,75.38,light rain,18.83,100.67,นายนนท์ปวิช. อานุ
Vanimo,PG,79.34,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
Inirida,CO,83.75,moderate rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
Awbari,LY,84.06,overcast clouds,26.59,12.78,فندق أوباري
Sao Bernardo,BR,83.52,few clouds,-3.36,-42.42,GUARDA CIVIL MUNICIPAL GCM
Carauari,BR,74.68,overcast clouds,-4.88,-66.9,Pousada Lobo
Bay,US,82.99,broken clouds,43.73,-84.02,Linwood Hotel
Harlingen,US,93.2,scattered clouds,26.19,-97.7,Courtyard by Marriott Harlingen
Srandakan,ID,77.56,broken clouds,-7.94,110.25,Puri Brata
Lufkin,US,84.2,broken clouds,31.34,-94.73,Courtyard by Marriott Lufkin
Lusambo,CD,73.72,clear sky,-4.97,23.45,
Acapulco,MX,86.0,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
Kismayo,SO,80.71,broken clouds,-0.36,42.55,Agan-Hotel
Port Hedland,AU,73.4,shower rain,-20.32,118.57,The Esplanade Hotel
Barcelos,PT,77.0,broken clouds,41.54,-8.62,Hotel Do Terço
Tura,IN,74.82,light rain,25.52,90.22,Hotel RIKMAN Continental
Acari,PE,76.5,clear sky,-15.43,-74.62,Hospedaje Ximens
Esna,EG,84.2,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
Algemesi,ES,73.0,clear sky,39.18,-0.43,Hotel Lluna Alzira
Tuburan,PH,80.6,broken clouds,6.64,122.27,Bohe Puno
Arlit,NE,94.46,broken clouds,18.74,7.39,Hôtel Telwa Bungalow
Calvia,ES,71.01,overcast clouds,39.57,2.51,Castell Son Claret
Liberty,US,88.0,haze,31.83,-81.5,Sasser Trailer Park
Bukama,CD,71.06,clear sky,-9.2,25.85,
San Jose Del Palmar,CO,73.4,light intensity drizzle,4.97,-76.23,
Caravelas,BR,77.63,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
Panara,IN,86.83,clear sky,22.07,78.55,Rahul Samuse Wala
Banikoara,BJ,86.63,light rain,11.3,2.44,Hôtel de l'UCom CVPC
Bambanglipuro,ID,77.47,broken clouds,-7.95,110.28,Puri Brata
Thinadhoo,MV,83.86,overcast clouds,0.53,72.93,
Dingle,PH,80.64,overcast clouds,11.0,122.67,Camp Pasica
Zhuhai,CN,80.6,scattered clouds,22.28,113.57,珠海粤财假日酒店
Viru,PE,76.28,clear sky,-8.42,-78.75,AYAR PORTENTOS DE MONTAÑA
Passo De Camaragibe,BR,73.4,mist,-9.24,-35.49,Pousada Divino Milagre
Tahta,EG,80.6,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
Palu,ID,76.51,overcast clouds,-0.89,119.87,Swiss-Belhotel Palu
Atikokan,CA,76.48,overcast clouds,48.76,-91.62,Camp Quetico
Wahiawa,US,82.4,clear sky,21.5,-158.02,Aloha Wahiawa
La Plaine,DM,86.0,scattered clouds,15.33,-61.25,Citrus Creek Plantation
Galesong,ID,78.8,scattered clouds,-5.32,119.37,Sapriadi Appy
Wanning,CN,79.0,scattered clouds,18.8,110.4,Paradise Hotel
Kavaratti,IN,84.61,broken clouds,10.57,72.64,Bismillah Hotel And Lodging
Bitung,ID,77.0,few clouds,1.45,125.18,Eco Divers Lembeh Cottages
Adre,TD,85.06,overcast clouds,13.47,22.2,
Meulaboh,ID,75.7,heavy intensity rain,4.14,96.13,Kost Pria
Itupiranga,BR,93.2,few clouds,-5.13,-49.33,JAIRO ORLINDO VIEIRA
Wawa,NG,87.1,light rain,9.9,4.42,
Nishihara,JP,73.4,broken clouds,26.18,127.76,Minshuku Agaihama
Palauig,PH,83.05,overcast clouds,15.44,119.9,
Brufut,GM,77.0,clear sky,13.38,-16.75,Sheraton Gambia Hotel Resort & Spa
Basco,PH,82.71,overcast clouds,20.45,121.97,Nathaniel's Lodge
Riyadh,SA,89.6,clear sky,24.69,46.72,InterContinental Riyadh
Gondanglegi,ID,75.76,overcast clouds,-7.75,112.01,Gg. Munasir Homestay
Manggar,ID,82.0,overcast clouds,-2.88,108.27,Guest Hotel
Coron,PH,80.78,overcast clouds,12.0,120.2,Coron Westown Resort
Saint Anthony,US,77.0,scattered clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
Mahibadhoo,MV,84.29,overcast clouds,3.78,72.97,Omadhoo Inn
Hirara,JP,77.45,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
Kota Kinabalu,MY,77.0,few clouds,5.97,116.07,Gaya Centre Hotel
Biltine,TD,86.56,scattered clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
Majenang,ID,76.51,broken clouds,-7.3,108.76,Bpk.Yuswoyo Family
Namatanai,PG,79.16,overcast clouds,-3.67,152.43,Namatanai Hotel
Coahuayana,MX,86.0,scattered clouds,18.73,-103.68,Hotel Los Arcos
Marsh Harbour,BS,77.67,overcast clouds,26.54,-77.06,Abaco Beach Resort
Navrongo,GH,94.53,overcast clouds,10.9,-1.09,Azakka Hotel
Quelimane,MZ,71.6,clear sky,-17.88,36.89,Hotel Flamingo
San Juan,AR,77.99,clear sky,-31.54,-68.54,Hotel Provincial
Mitu,CO,79.52,overcast clouds,1.2,-70.17,
Bhavani,IN,86.81,scattered clouds,11.45,77.68,Paviesh Park
Eydhafushi,MV,84.27,overcast clouds,5.1,73.07,Soneva Fushi
Seydi,TM,88.7,clear sky,39.48,62.91,
Camacha,PT,71.6,overcast clouds,33.08,-16.33,Hotel Porto Santo & Spa
Lodja,CD,75.54,clear sky,-3.48,23.43,
Belmonte,BR,80.6,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
Kalemie,CD,70.59,clear sky,-5.95,29.19,Mahobilali
Moerai,PF,77.63,clear sky,-22.43,-151.33,Le Manotel
