City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
Saint-Pierre,RE,-21.34,55.48,69.8,68,20,5.82,few clouds,0,0
Damietta,EG,31.42,31.81,69.8,56,0,17.22,clear sky,0,0
Burnie,AU,-41.07,145.92,39.0,86,0,4.0,clear sky,0,0
Pemangkat,ID,1.17,108.97,77.92,89,79,5.23,light rain,0,0
Fortuna,US,40.6,-124.16,62.01,82,20,16.11,few clouds,0,0
Tuktoyaktuk,CA,69.45,-133.04,41.0,88,40,17.22,scattered clouds,0,0
Dongying,CN,37.46,118.49,68.25,48,100,4.56,overcast clouds,0,0
Avarua,CK,-21.21,-159.78,80.6,88,73,9.17,light rain,0,0
Nizhnevartovsk,RU,60.93,76.55,60.8,63,20,11.18,few clouds,0,0
Sibolga,ID,1.74,98.78,76.84,82,98,3.42,light rain,0,0
Kavieng,PG,-2.57,150.8,81.34,80,99,1.79,overcast clouds,0,0
Severo-Kurilsk,RU,50.68,156.12,40.24,89,100,8.19,overcast clouds,0,0
Nabire,ID,-3.37,135.48,75.76,89,89,3.83,light rain,0,0
Yanam,IN,16.73,82.22,82.72,85,10,5.73,clear sky,0,0
Muros,ES,42.78,-9.06,78.01,64,20,8.05,few clouds,0,0
Berlevag,NO,70.86,29.09,48.2,49,72,10.29,broken clouds,0,0
Yumbel,CL,-37.08,-72.57,64.4,72,20,5.82,few clouds,0,0
Hobart,AU,-42.88,147.33,46.4,75,90,8.05,overcast clouds,0,0
Hamilton,US,39.18,-84.53,88.0,55,1,3.36,thunderstorm,0,0
Svetlogorsk,BY,52.63,29.73,48.83,84,100,5.12,overcast clouds,0,0
Port Alfred,ZA,-33.59,26.89,62.01,89,0,3.0,clear sky,0,0
Sitka,US,57.05,-135.33,48.2,87,90,8.05,mist,0,0
Lerwick,GB,60.15,-1.15,50.0,81,79,11.41,broken clouds,0,0
Kenai,US,60.55,-151.26,50.0,87,90,5.82,light rain,0,0
Leshukonskoye,RU,64.9,45.76,43.38,65,9,4.43,clear sky,0,0
East London,ZA,-33.02,27.91,71.47,34,0,7.72,clear sky,0,0
Carnarvon,AU,-24.87,113.63,68.59,61,24,20.09,few clouds,0,0
Pochutla,MX,15.74,-96.47,93.0,55,5,9.73,clear sky,0,0
Yatou,CN,37.15,122.38,57.54,83,100,4.27,overcast clouds,0,0
Turukhansk,RU,65.82,87.98,50.85,78,89,21.21,light rain,0,0
Nikolskoye,RU,59.7,30.79,57.2,30,33,8.95,scattered clouds,0,0
College,US,64.86,-147.8,61.0,48,90,8.05,overcast clouds,0,0
Margate,GB,51.38,1.39,64.0,86,100,7.38,overcast clouds,0,0
Chuy,UY,-33.7,-53.46,57.18,68,32,10.8,scattered clouds,0,0
Faanui,PF,-16.48,-151.75,81.77,82,100,20.47,overcast clouds,0,0
Navahrudak,BY,53.6,25.83,45.39,99,100,3.89,overcast clouds,0,0
Lata,PT,40.16,-8.33,70.0,72,100,5.01,overcast clouds,0,0
Tarakan,ID,3.3,117.63,81.19,82,59,2.01,moderate rain,0,0
Laranjeiras Do Sul,BR,-25.41,-52.42,55.29,83,68,2.55,broken clouds,0,0
Cidreira,BR,-30.18,-50.21,60.8,71,99,14.52,overcast clouds,0,0
Banamba,ML,13.55,-7.45,93.15,10,0,6.26,clear sky,0,0
Vestmannaeyjar,IS,63.44,-20.27,44.6,81,100,11.41,overcast clouds,0,0
Otane,NZ,-39.88,176.63,53.01,96,100,6.46,overcast clouds,0,0
Liepaja,LV,56.54,21.04,50.0,93,30,8.05,scattered clouds,0,0
Ribeira Grande,PT,38.52,-28.7,68.0,82,75,6.93,broken clouds,0,0
Saint-Francois,FR,46.42,3.91,60.8,59,20,4.7,few clouds,0,0
Esperance,AU,-33.87,121.9,53.6,71,90,19.46,overcast clouds,0,0
Tezu,IN,27.92,96.17,71.64,86,100,3.71,moderate rain,0,0
Tsiroanomandidy,MG,-18.77,46.03,62.71,74,4,2.77,clear sky,0,0
Novi Travnik,BA,44.17,17.66,47.7,78,2,2.53,clear sky,0,0
Verkhnyaya Inta,RU,65.98,60.31,38.37,75,0,11.65,clear sky,0,0
Penzance,GB,50.12,-5.54,55.4,82,0,8.05,clear sky,0,0
Narsaq,GL,60.92,-46.05,57.2,28,9,18.34,clear sky,0,0
Provideniya,RU,64.38,-173.3,35.6,74,88,2.24,overcast clouds,0,0
Ambilobe,MG,-13.2,49.05,70.23,78,0,4.72,clear sky,0,0
Saldanha,ZA,-33.01,17.94,57.2,82,99,2.24,overcast clouds,0,0
Pangody,RU,65.85,74.49,41.38,66,87,6.51,overcast clouds,0,0
Tuatapere,NZ,-46.13,167.68,49.01,92,99,2.15,overcast clouds,0,0
Geraldton,AU,-28.77,114.6,64.4,77,75,20.8,broken clouds,0,0
Bathsheba,BB,13.22,-59.52,86.0,62,40,17.22,scattered clouds,0,0
Viedma,AR,-40.81,-63.0,69.66,37,88,23.38,overcast clouds,0,0
Hami,CN,42.8,93.45,68.29,31,100,6.49,overcast clouds,0,0
Blackwater,AU,-23.58,148.88,48.61,70,0,5.95,clear sky,0,0
Byron Bay,AU,-28.65,153.62,57.2,71,43,10.29,scattered clouds,0,0
Tornio,FI,65.85,24.15,62.6,69,100,3.36,overcast clouds,0,0
Atar,MR,20.52,-13.05,95.88,10,0,14.05,clear sky,0,0
Leh,IN,34.17,77.58,46.67,53,96,2.08,overcast clouds,0,0
Victoria,HK,22.29,114.16,80.01,83,62,4.0,broken clouds,0,0
Vao,NC,-22.67,167.48,72.84,79,96,11.99,overcast clouds,0,0
Marathon,US,44.9,-89.77,75.99,69,75,6.93,broken clouds,0,0
Bilma,NE,18.69,12.92,95.16,12,93,6.29,overcast clouds,0,0
Merauke,ID,-8.47,140.33,77.07,83,100,10.18,overcast clouds,0,0
Orlik,RU,52.52,99.83,47.43,60,68,1.74,broken clouds,0,0
Fare,PF,-16.7,-151.02,82.51,80,100,19.26,overcast clouds,0,0
Grand Gaube,MU,-20.01,57.66,69.01,84,0,1.99,clear sky,0,0
Port Blair,IN,11.67,92.75,83.48,80,91,11.1,overcast clouds,0,0
Zary,PL,51.64,15.14,50.0,90,100,8.14,light rain,0,0
Ballina,AU,-28.87,153.57,57.2,71,77,10.29,broken clouds,0,0
Chokurdakh,RU,70.63,147.92,32.97,97,100,9.82,overcast clouds,0,0
Fairbanks,US,64.84,-147.72,61.0,54,75,4.7,broken clouds,0,0
Mahebourg,MU,-20.41,57.7,69.8,88,75,10.04,shower rain,0,0
Boa Vista,BR,2.82,-60.67,86.0,66,40,10.29,scattered clouds,0,0
Henties Bay,NA,-22.12,14.28,62.76,69,0,8.05,clear sky,0,0
Akyab,MM,20.15,92.9,82.81,78,58,4.63,broken clouds,0,0
Longyearbyen,SJ,78.22,15.64,42.8,48,75,10.29,broken clouds,0,0
Slonim,BY,53.09,25.32,43.84,95,8,4.0,clear sky,0,0
Baruun-Urt,MN,46.68,113.28,44.85,57,0,6.62,clear sky,0,0
Hofn,IS,64.25,-15.21,47.73,96,100,25.3,moderate rain,0,0
Boffa,GN,10.17,-14.03,80.69,78,10,4.27,clear sky,0,0
Kommunar,RU,59.62,30.39,57.2,30,85,8.95,overcast clouds,0,0
Hilo,US,19.73,-155.09,78.8,65,90,4.7,overcast clouds,0,0
Namibe,AO,-15.2,12.15,74.61,68,0,6.87,clear sky,0,0
Russell,US,32.35,-85.2,89.6,52,40,3.36,scattered clouds,0,0
Fuerte Olimpo,PY,-21.04,-57.87,71.04,41,0,0.63,clear sky,0,0
Bogotol,RU,56.21,89.53,53.11,96,100,4.7,overcast clouds,0,0
Aklavik,CA,68.22,-135.01,53.6,81,20,9.17,few clouds,0,0
Brewster,US,41.4,-73.62,73.99,43,1,6.82,clear sky,0,0
Thompson,CA,55.74,-97.86,64.4,34,40,16.11,scattered clouds,0,0
Prattville,US,32.46,-86.46,91.4,48,1,4.7,clear sky,0,0
Qom,IR,34.64,50.88,83.48,21,82,7.9,broken clouds,0,0
Inhambane,MZ,-23.86,35.38,68.0,94,0,5.59,clear sky,0,0
Voyvozh,RU,62.89,54.96,36.9,81,0,5.77,clear sky,0,0
Araouane,ML,18.9,-3.53,88.32,13,0,5.77,clear sky,0,0
Porto Novo,BJ,6.5,2.6,82.4,83,40,14.99,shower rain,0,0
Alappuzha,IN,9.49,76.33,83.08,85,18,7.76,few clouds,0,0
Pangnirtung,CA,66.15,-65.71,30.2,68,75,11.41,broken clouds,0,0
Atherton,GB,53.52,-2.49,61.0,61,7,4.0,clear sky,0,0
Bahia Blanca,AR,-38.72,-62.27,72.25,42,53,16.42,broken clouds,0,0
Sindou,BF,10.67,-5.17,86.68,42,33,2.53,scattered clouds,0,0
Waingapu,ID,-9.66,120.26,77.22,89,70,6.06,broken clouds,0,0
Amiens,FR,49.9,2.3,59.0,72,100,10.29,overcast clouds,0,0
Gushikawa,JP,26.35,127.87,73.4,100,90,3.36,overcast clouds,0,0
Mitsamiouli,KM,-11.38,43.28,80.38,74,1,8.46,clear sky,0,0
Yumen,CN,40.28,97.2,55.22,51,98,6.51,overcast clouds,0,0
Olafsvik,IS,64.89,-23.71,44.89,75,95,13.4,light rain,0,0
Labuhan,ID,-6.88,112.21,80.22,86,77,4.54,broken clouds,0,0
Kidal,ML,18.44,1.41,88.3,11,48,7.67,scattered clouds,0,0
Ilulissat,GL,69.22,-51.1,35.6,80,74,2.24,light intensity shower rain,0,0
Upernavik,GL,72.79,-56.15,29.16,96,100,10.98,overcast clouds,0,0
Beira,MZ,-19.84,34.84,68.0,88,20,4.7,few clouds,0,0
Akdagmadeni,TR,39.66,35.88,38.19,84,82,15.26,broken clouds,0,0
Alofi,NU,-19.06,-169.92,73.4,100,100,2.24,overcast clouds,0,0
Kinwat,IN,19.63,78.2,93.43,15,0,2.84,clear sky,0,0
Davila,PH,18.47,120.58,77.0,94,75,9.53,broken clouds,0,0
Nara,JP,34.69,135.8,70.0,65,92,1.92,overcast clouds,0,0
Maragogi,BR,-9.01,-35.22,78.24,87,93,8.3,moderate rain,0,0
Mar Del Plata,AR,-38.0,-57.56,57.0,76,90,13.87,light rain,0,0
Tual,ID,-5.67,132.75,81.21,85,100,22.5,light rain,0,0
La Rioja,ES,42.25,-2.5,71.6,56,100,5.82,overcast clouds,0,0
Marsa Matruh,EG,31.35,27.25,68.0,56,0,12.75,clear sky,0,0
Nanakuli,US,21.39,-158.15,82.4,58,1,6.93,clear sky,0,0
Dhidhdhoo,MV,6.88,73.1,84.67,78,38,13.49,scattered clouds,0,0
Dunedin,NZ,-45.87,170.5,52.0,86,100,1.32,overcast clouds,0,0
Qunduz,AF,36.73,68.86,81.14,26,0,2.8,clear sky,0,0
Suntar,RU,62.14,117.63,54.64,61,31,2.55,scattered clouds,0,0
Kostino,RU,58.91,53.27,48.54,95,100,5.14,overcast clouds,0,0
Vila Velha,BR,-20.33,-40.29,82.4,74,20,16.11,few clouds,0,0
Vung Tau,VN,10.35,107.08,84.2,80,100,9.06,overcast clouds,0,0
Xining,CN,36.62,101.77,43.99,73,99,3.51,overcast clouds,0,0
Calama,CL,-22.47,-68.93,80.6,2,0,6.93,clear sky,0,0
Puerto Escondido,MX,15.85,-97.07,87.8,70,5,16.11,clear sky,0,0
Port Augusta,AU,-32.5,137.77,46.4,87,0,3.36,clear sky,0,0
Churapcha,RU,62.0,132.43,47.62,62,14,4.5,few clouds,0,0
Algiers,DZ,36.75,3.04,69.8,83,20,13.87,few clouds,0,0
Visby,SE,57.64,18.3,52.0,81,67,3.36,broken clouds,0,0
Gambela,ET,8.25,34.58,75.29,80,99,4.63,overcast clouds,0,0
Port Hardy,CA,50.7,-127.42,55.4,82,90,10.29,overcast clouds,0,0
Buchanan,LR,5.88,-10.05,82.4,88,40,4.7,scattered clouds,0,0
Vesoul,FR,47.58,5.83,60.8,55,88,4.7,overcast clouds,0,0
Kruisfontein,ZA,-34.0,24.73,51.37,88,0,1.88,clear sky,0,0
Onguday,RU,50.75,86.15,52.75,71,100,0.96,overcast clouds,0,0
Zapolyarnyy,RU,69.42,30.81,57.2,41,100,3.36,overcast clouds,0,0
Tasiilaq,GL,65.61,-37.64,37.4,69,100,4.7,overcast clouds,0,0
Touros,BR,-5.2,-35.46,73.4,100,75,5.82,broken clouds,0,0
Northam,GB,51.03,-4.22,55.99,85,47,5.99,scattered clouds,0,0
Palmer,US,42.16,-72.33,73.99,28,40,5.82,scattered clouds,0,0
Cockburn Town,TC,21.46,-71.14,81.25,84,100,11.99,overcast clouds,0,0
Kupang,ID,-10.17,123.58,76.15,86,100,10.33,overcast clouds,0,0
Airai,TL,-8.93,125.41,60.71,100,100,2.89,light rain,0,0
Kasongo,CD,-4.45,26.67,72.9,71,0,3.89,clear sky,0,0
Ketchikan,US,55.34,-131.65,53.6,81,90,16.11,overcast clouds,0,0
Saint-Gaudens,FR,43.08,0.67,64.4,52,90,5.82,overcast clouds,0,0
Suda,RU,59.15,37.56,39.07,94,99,3.33,overcast clouds,0,0
Kutum,SD,14.2,24.67,82.38,29,65,5.95,broken clouds,0,0
Lasa,IT,46.62,10.7,50.0,50,5,4.7,clear sky,0,0
Saint George,US,37.1,-113.58,78.01,12,1,9.17,clear sky,0,0
Carbonia,IT,39.17,8.52,73.4,46,75,11.41,broken clouds,0,0
Road Town,VG,18.42,-64.62,87.8,62,20,6.93,few clouds,0,0
Anadyr,RU,64.75,177.48,37.4,74,75,2.24,broken clouds,0,0
Chivilcoy,AR,-34.9,-60.02,63.0,51,100,7.0,overcast clouds,0,0
San Pedro,PH,14.35,121.02,82.4,83,75,3.36,broken clouds,0,0
Holme,DK,56.11,10.17,50.0,93,100,11.41,light intensity shower rain,0,0
Shaunavon,CA,49.65,-108.42,59.07,45,100,9.86,overcast clouds,0,0
Ayr,GB,55.46,-4.63,57.2,71,20,5.82,few clouds,0,0
Mizdah,LY,31.45,12.98,69.66,39,0,15.5,clear sky,0,0
Carora,VE,10.18,-70.08,98.49,27,100,8.5,overcast clouds,0,0
Alexandria,EG,31.22,29.96,68.0,56,0,11.41,clear sky,0,0
Ninotsminda,GE,41.26,43.59,51.8,66,40,1.12,scattered clouds,0,0
Kaitangata,NZ,-46.28,169.85,50.0,90,100,7.0,overcast clouds,0,0
Thessalon,CA,46.25,-83.57,57.2,93,90,4.7,mist,0,0
Chumikan,RU,54.72,135.31,38.71,74,0,3.94,clear sky,0,0
Livingstone,ZM,-17.84,25.85,57.58,56,0,3.36,clear sky,0,0
Neuquen,AR,-38.95,-68.06,77.0,22,80,20.8,broken clouds,0,0
Banda Aceh,ID,5.56,95.32,77.68,84,100,11.27,light rain,0,0
Dzaoudzi,YT,-12.79,45.27,80.6,74,0,11.41,clear sky,0,0
Saint-Leu,RE,-21.15,55.28,69.8,68,20,5.82,few clouds,0,0
Marsabit,KE,2.33,37.99,68.74,63,0,16.24,clear sky,0,0
Sao Joao Da Barra,BR,-21.64,-41.05,75.2,78,90,11.41,light rain,0,0
Boden,SE,65.83,21.69,53.6,54,67,2.24,broken clouds,0,0
Hovd,MN,48.01,91.64,55.83,35,0,2.24,clear sky,0,0
Grand-Santi,GF,4.25,-54.38,81.9,93,100,2.8,moderate rain,0,0
Caibarien,CU,22.52,-79.47,80.6,100,40,8.05,scattered clouds,0,0
Ponta Do Sol,PT,32.67,-17.1,78.8,29,78,21.92,broken clouds,0,0
Banjar,ID,-8.19,114.97,80.6,88,75,2.24,moderate rain,0,0
Batagay-Alyta,RU,67.8,130.41,51.49,52,35,4.34,scattered clouds,0,0
Guerrero Negro,MX,27.98,-114.06,68.7,57,4,15.61,clear sky,0,0
Hasaki,JP,35.73,140.83,62.6,93,75,1.12,broken clouds,0,0
Zandvoort,NL,52.37,4.53,57.2,82,75,10.29,broken clouds,0,0
Losevo,RU,50.68,40.05,46.87,84,0,5.01,clear sky,0,0
Key Largo,US,25.09,-80.45,78.01,78,100,8.01,moderate rain,0,0
Manono,CD,-7.3,27.42,71.69,56,0,4.41,clear sky,0,0
Mayo,US,38.89,-76.51,68.0,82,90,5.82,overcast clouds,0,0
Kaihua,CN,23.37,104.28,65.88,93,98,4.59,light rain,0,0
Marzuq,YE,14.4,46.47,82.18,42,38,9.82,scattered clouds,0,0
Washim,IN,20.1,77.15,90.75,16,1,12.97,clear sky,0,0
Ponta Delgada,PT,37.73,-25.67,68.0,82,20,12.75,few clouds,0,0
Quepos,CR,9.42,-84.17,82.4,69,40,13.87,scattered clouds,0,0
Macusani,PE,-14.08,-70.43,48.87,49,43,8.16,scattered clouds,0,0
Santiago Del Estero,AR,-27.8,-64.26,70.75,29,0,8.48,clear sky,0,0
Santa Cruz Cabralia,BR,-16.28,-39.02,80.6,78,40,5.82,scattered clouds,0,0
Qaqortoq,GL,60.72,-46.03,57.2,28,0,18.34,clear sky,0,0
Chongwe,ZM,-15.33,28.68,59.0,67,0,4.7,clear sky,0,0
Goderich,CA,43.75,-81.72,82.99,58,2,7.0,light rain,0,0
Pangkalanbuun,ID,-2.68,111.62,74.89,94,87,0.74,overcast clouds,0,0
Simplicio Mendes,BR,-7.85,-41.91,84.06,65,21,3.69,few clouds,0,0
Bandar,ID,2.05,99.75,73.33,91,79,2.13,broken clouds,0,0
Burhar,IN,23.22,81.53,86.65,18,67,3.65,broken clouds,0,0
San Vicente,AR,-26.62,-54.13,58.39,63,67,2.1,broken clouds,0,0
Alta Floresta,BR,-9.88,-56.09,77.25,79,74,3.71,broken clouds,0,0
Luganville,VU,-15.53,167.17,69.8,94,75,5.39,broken clouds,0,0
San Carlos De Bariloche,AR,-41.15,-71.31,57.2,47,9,20.8,clear sky,0,0
Katsuura,JP,35.13,140.3,66.99,82,75,9.17,broken clouds,0,0
Likasi,CD,-10.98,26.73,59.58,76,0,2.42,clear sky,0,0
Beringovskiy,RU,63.05,179.32,32.43,95,90,10.04,overcast clouds,0,0
Nome,US,64.5,-165.41,51.8,71,90,12.75,overcast clouds,0,0
Lianran,CN,24.92,102.48,75.0,59,76,13.42,broken clouds,0,0
Lashio,MM,22.93,97.75,70.9,76,100,0.47,overcast clouds,0,0
Bow Island,CA,49.87,-111.37,66.99,42,75,3.36,broken clouds,0,0
Vlasim,CZ,49.71,14.9,53.01,68,55,7.54,broken clouds,0,0
Sorland,NO,67.67,12.69,51.8,53,11,9.17,few clouds,0,0
Rio Grande,BR,-32.03,-52.1,64.4,55,40,9.17,scattered clouds,0,0
Kalawit,PH,8.07,122.52,79.9,81,98,1.01,overcast clouds,0,0
Kayerkan,RU,69.35,87.76,41.0,93,90,22.37,fog,0,0
Pagudpud,PH,18.56,120.79,77.0,94,75,4.43,broken clouds,0,0
Aljezur,PT,37.32,-8.8,79.0,47,5,4.81,clear sky,0,0
Dickinson,US,29.46,-95.05,87.8,70,75,20.8,broken clouds,0,0
Gallup,US,35.53,-108.74,69.8,12,1,17.22,clear sky,0,0
Villa Carlos Paz,AR,-31.42,-64.5,82.4,10,2,9.17,clear sky,0,0
Coihaique,CL,-45.58,-72.07,53.6,58,40,5.82,scattered clouds,0,0
San Ramon,US,37.78,-121.98,87.01,18,1,4.7,clear sky,0,0
Port Elizabeth,ZA,-33.92,25.57,51.8,93,0,4.7,mist,0,0
Tocache,PE,-8.18,-76.51,71.38,89,100,0.18,light rain,0,0
Bela,IN,25.93,81.98,94.96,15,100,8.23,overcast clouds,0,0
Taoudenni,ML,22.68,-3.98,89.11,21,0,3.98,clear sky,0,0
Ixtapa,MX,20.7,-105.2,82.0,69,5,11.41,clear sky,0,0
Jibuti,DJ,11.5,42.5,100.4,22,1,10.29,haze,0,0
Najran,SA,17.49,44.13,87.8,31,75,13.87,broken clouds,0,0
Cairns,AU,-16.92,145.77,53.6,87,78,1.12,broken clouds,0,0
Ternate,ID,0.8,127.4,81.61,77,88,2.82,overcast clouds,0,0
Sidrolandia,BR,-20.93,-54.96,64.4,55,0,5.82,clear sky,0,0
Prince Rupert,CA,54.32,-130.32,50.0,100,90,5.82,light rain,0,0
Dzerzhinsk,RU,56.24,43.46,46.0,100,40,8.95,scattered clouds,0,0
Kashi,CN,39.45,75.98,71.6,19,0,4.47,clear sky,0,0
Naze,JP,28.37,129.48,71.6,94,75,5.82,broken clouds,0,0
